person name,date of birth,date of death,occupation,country of citizenship,sex or gender,id,Wikidata URL,COMMENTS
,,,military commander,,,,,
Pliny the Elder,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,writer,Ancient Rome,male,Q82778,https://www.wikidata.org/wiki/Q82778,notes
,,,historian,,,,,
,,,naturalist,,,,,
,,,military personnel,,,,,
,,,poet,,,,,
,,,philosopher,,,,,
,,,art historian,,,,,
,,,civil servant,,,,,
,,,military commander,,,,,
Pliny the Elder,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,writer,Ancient Rome,male,Q82778,https://www.wikidata.org/wiki/Q82778,notes
,,,historian,,,,,
,,,naturalist,,,,,
,,,military personnel,,,,,
,,,poet,,,,,
,,,philosopher,,,,,
,,,art historian,,,,,
,,,civil servant,,,,,
,,,military commander,,,,,
Leo X,1475-12-11T00:00:00Z,1521-12-01T00:00:00Z,Latin Catholic priest,Papal States,male,Q49237,https://www.wikidata.org/wiki/Q49237,
,,,Catholic priest,,,,,
Psamtik III,0600-01-01T00:00:00Z,0525-01-01T00:00:00Z,statesperson,Ancient Egypt,male,Q316278,https://www.wikidata.org/wiki/Q316278,
Psamtik III,0600-01-01T00:00:00Z,0525-01-01T00:00:00Z,statesperson,Ancient Egypt,male,Q316278,https://www.wikidata.org/wiki/Q316278,
Raiscïac,,1527-01-01T00:00:00Z,lord,Germany,male,Q135004989,https://www.wikidata.org/wiki/Q135004989,
Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,playwright,Ancient Rome,male,Q2054,https://www.wikidata.org/wiki/Q2054,notes
,,,poet,,,,,
,,,philosopher,,,,,
,,,aphorist,,,,,
,,,statesperson,,,,,
,,,politician,,,,,
,,,writer,,,,,
Sophocles,0496-01-01T00:00:00Z,0406-01-01T00:00:00Z,tragedy writer,Classical Athens,male,Q7235,https://www.wikidata.org/wiki/Q7235,
,,,playwright,,,,,
,,,writer,,,,,
,,,priest,,,,,
,,,politician,,,,,
Manius Juventius Thalna,0250-01-01T00:00:00Z,0163-01-01T00:00:00Z,Ancient Roman politician,Ancient Rome,male,Q3290279,https://www.wikidata.org/wiki/Q3290279,
,,,ancient Roman military personnel,,,,,
Isabella Jagiellon,1519-01-18T00:00:00Z,1559-09-15T00:00:00Z,queen regnant,Hungary,female,Q235591,https://www.wikidata.org/wiki/Q235591,Isabella Jagiellon
"Charles, Cardinal of Lorraine",1524-02-17T00:00:00Z,1574-12-26T00:00:00Z,diplomat,France,male,Q712264,https://www.wikidata.org/wiki/Q712264,Charles de Guise
,,,aristocrat,,,,,
,,,Catholic priest,,,,,
,,,Catholic bishop,,,,,
