person name,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Cossus,Cossus Cornelius Lentulus,0027-01-01T00:00:00Z,0060-01-01T00:00:00Z,Ancient Rome,politician,male,Q638091,https://www.wikidata.org/wiki/Q638091,
,,,,,military personnel,,,,
Cyrus,Cyrus the Younger,0500-01-01T00:00:00Z,0401-01-01T00:00:00Z,,military officer,male,Q297960,https://www.wikidata.org/wiki/Q297960,
Dionysos,Dionysus,,,,,male,Q41680,https://www.wikidata.org/wiki/Q41680,
Epaminondas,Epaminondas,0418-01-01T00:00:00Z,0362-01-01T00:00:00Z,Thebes,politician,male,Q190436,https://www.wikidata.org/wiki/Q190436,
,,,,,military personnel,,,,
,,,,,military leader,,,,
,,,,,statesperson,,,,
,,,,,army officer,,,,
Epicurus,Epicurus,0342-01-01T00:00:00Z,0270-01-01T00:00:00Z,Classical Athens,philosopher,male,Q43216,https://www.wikidata.org/wiki/Q43216,
,,,,,writer,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Horace,Horace,0165-12-08T00:00:00Z,0108-11-27T00:00:00Z,Ancient Rome,poet,male,Q6197,https://www.wikidata.org/wiki/Q6197,notes
,,,,,writer,,,,
,,,,,philosopher,,,,
Josephus,Josephus,0037-01-01T00:00:00Z,0100-01-01T00:00:00Z,Ancient Rome,writer,male,Q134461,https://www.wikidata.org/wiki/Q134461,
,,,,,historian,,,,
Josephus,Josephus,0037-01-01T00:00:00Z,0100-01-01T00:00:00Z,Ancient Rome,writer,male,Q134461,https://www.wikidata.org/wiki/Q134461,
,,,,,historian,,,,
Juvenal,Juvenal,0055-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,poet,male,Q193800,https://www.wikidata.org/wiki/Q193800,notes
,,,,,writer,,,,
,,,,,historian,,,,
,,,,,satirist,,,,
Lucius Piso,Lucius Calpurnius Piso,,0025-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q6697596,https://www.wikidata.org/wiki/Q6697596,
,,,,,politician,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,
,,,,,philosopher,,,,
,,,,,writer,,,,
Lucretius,Lucretius,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,Ancient Rome,poet,male,Q47154,https://www.wikidata.org/wiki/Q47154,notes
,,,,,philosopher,,,,
,,,,,writer,,,,
Lyacus,Bacchus,,,,,male,Q645312,https://www.wikidata.org/wiki/Q645312,
Marcus Aurelius,Marcus Aurelius,0121-04-26T00:00:00Z,0180-03-17T00:00:00Z,Ancient Rome,politician,male,Q1430,https://www.wikidata.org/wiki/Q1430,
,,,,,philosopher,,,,
,,,,,writer,,,,
,,,,,monarch,,,,
Maximianus,Maximianus,,,,,,,,notes
Metrodorus,Metrodorus of Lampsacus,0500-01-01T00:00:00Z,0464-01-01T00:00:00Z,,philosopher,male,Q539514,https://www.wikidata.org/wiki/Q539514,
,,,,,poet,,,,
Nicocreon the tyrant of Cyprus,Nicocreon,0400-01-01T00:00:00Z,0311-01-01T00:00:00Z,,ruler,male,Q181585,https://www.wikidata.org/wiki/Q181585,
,,,0310-01-01T00:00:00Z,,,,,,
Pausanias,Pausanias of Orestis,0400-01-01T00:00:00Z,0336-01-01T00:00:00Z,Macedonia,military personnel,male,Q457994,https://www.wikidata.org/wiki/Q457994,
Philip of Macedon,Philip II of Macedon,0385-01-01T00:00:00Z,0336-01-01T00:00:00Z,Macedonia,monarch,male,Q130650,https://www.wikidata.org/wiki/Q130650,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Plutarch,Plutarch,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,Ancient Rome,essayist,male,Q41523,https://www.wikidata.org/wiki/Q41523,notes
,,,,,priest,,,,
,,,,,magistrate,,,,
,,,,,biographer,,,,
,,,,,historian,,,,
,,,,,writer,,,,
,,,,,philosopher,,,,
Sextius,Alexander Wilhelm Boisman,1851-08-12T00:00:00Z,1922-09-14T00:00:00Z,Finland,lawyer,male,Q11850760,https://www.wikidata.org/wiki/Q11850760,
,,,,,writer,,,,
,,,,,civil servant,,,,
Silvius,Jacques Dubois,1478-01-01T00:00:00Z,1555-01-14T00:00:00Z,Kingdom of France,physician,male,Q1677782,https://www.wikidata.org/wiki/Q1677782,
,,,,,anatomist,,,,
,,,,,professor,,,,
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
Socrates,Socrates,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,Classical Athens,philosopher,male,Q913,https://www.wikidata.org/wiki/Q913,
,,,,,teacher,,,,
,,,,,writer,,,,
,,,,,ethicist,,,,
Stilpo,Stilpo,0359-01-01T00:00:00Z,0279-01-01T00:00:00Z,,philosopher,male,Q381048,https://www.wikidata.org/wiki/Q381048,
Terence,Terence,0185-01-01T00:00:00Z,0159-01-01T00:00:00Z,Ancient Rome,comedy writer,male,Q172048,https://www.wikidata.org/wiki/Q172048,notes
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,playwright,,,,
Tiberius,Tiberius,0142-11-16T00:00:00Z,0037-03-16T00:00:00Z,Ancient Rome,military personnel,male,Q1407,https://www.wikidata.org/wiki/Q1407,
,,,,,politician,,,,
,,,,,soldier,,,,
Torquatus,Titus Manlius Imperiosus Torquatus,0380-01-01T00:00:00Z,0301-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q714821,https://www.wikidata.org/wiki/Q714821,
,,,,,ancient Roman military personnel,,,,
Venus,Venus,,,,,female,Q47652,https://www.wikidata.org/wiki/Q47652,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
