person name,wikidata names,country of citizenship,occupation,sex or gender,date of birth,date of death,URLs,COMMENTS
,,Anshan Persia,military leader,,,,,
,,,founder,,,,,
Diodorus Siculus,Diodorus Siculus,Agyrion,historian,male,0190-01-01T00:00:00Z,0120-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q171241,notes
,,,geographer,,,,,
,,,mythographer,,,,,
Diomedon,Diomedon,Classical Athens,military personnel,male,0450-01-01T00:00:00Z,0406-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1226901,
"Edward I., King of England",Edward I of England,Kingdom of England,monarch,male,1239-06-17T00:00:00Z,1307-07-07T00:00:00Z,https://www.wikidata.org/wiki/Q57798,
,,,politician,,,,,
Emilius Lepidus,Lepidus,Ancient Rome,Ancient Roman politician,male,0190-01-01T00:00:00Z,0113-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q105452,
,,,ancient Roman military personnel,,,,,
Emperor Maximilian,Maximilian I,Holy Roman Empire,ruler,male,1459-03-22T00:00:00Z,1519-01-12T00:00:00Z,https://www.wikidata.org/wiki/Q150726,
Ennius,Ennius,Ancient Rome,poet,male,0239-07-16T00:00:00Z,0169-10-08T00:00:00Z,https://www.wikidata.org/wiki/Q47130,notes
,,,playwright,,,,,
,,,writer,,,,,
,,,Ancient Roman historian,,,,,
,,,annalist,,,,,
Epicurus,Epicurus,Classical Athens,philosopher,male,0342-01-01T00:00:00Z,0270-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q43216,
,,,writer,,,,,
Herodotus,Herodotus,Halicarnassus,historian,male,0484-01-01T00:00:00Z,0425-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q26825,notes
John Zisca,Jan Žižka,Kingdom of Bohemia,military leader,male,1360-01-01T00:00:00Z,1424-10-11T00:00:00Z,https://www.wikidata.org/wiki/Q215968,
,,,politician,,,,,
,,,soldier,,,,,
King Philip,Philip II of Spain,Spain,ruler,male,1527-05-21T00:00:00Z,1598-09-13T00:00:00Z,https://www.wikidata.org/wiki/Q34417,Phillip II of Spain
,,Kingdom of Portugal,,,,,,
Livy,Titus Livius,Ancient Rome,historian,male,0159-01-01T00:00:00Z,0017-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2039,
,,,writer,,,,,
,,,poet,,,,,
Lucretius,Lucretius,Ancient Rome,poet,male,0194-01-01T00:00:00Z,0155-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q47154,notes
,,,philosopher,,,,,
,,,writer,,,,,
Nero,Nero,Ancient Rome,poet,male,0037-12-15T00:00:00Z,0068-06-09T00:00:00Z,https://www.wikidata.org/wiki/Q1413,
,,,politician,,,,,
,,,military personnel,,,,,
,,,musician,,,,,
Nicias,Nicias,Classical Athens,politician,male,0500-01-01T00:00:00Z,0413-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q315822,
,,,military personnel,,,,,
Plato,Plato,Classical Athens,philosopher,male,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q859,
,,,epigrammatist,,,,,
,,,poet,,,,,
,,,writer,,,,,
,,,philosopher of law,,,,,
Plutarch,Plutarch,Ancient Rome,essayist,male,0040-01-01T00:00:00Z,0120-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q41523,notes
,,,priest,,,,,
,,,magistrate,,,,,
,,,biographer,,,,,
,,,historian,,,,,
,,,writer,,,,,
,,,philosopher,,,,,
"Pollis, Admiral of Sparta",Pollis,,military personnel,male,0450-01-01T00:00:00Z,0373-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q15066851,
"Robert, King of Scotland",Robert I of Scotland,Kingdom of Scotland,warrior,male,1274-07-11T00:00:00Z,1329-06-07T00:00:00Z,https://www.wikidata.org/wiki/Q187312,
,,,monarch,,,,,
Seneca,Seneca,Ancient Rome,playwright,male,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,https://www.wikidata.org/wiki/Q2054,notes
,,,poet,,,,,
,,,philosopher,,,,,
,,,aphorist,,,,,
,,,statesperson,,,,,
,,,politician,,,,,
,,,writer,,,,,
Seneca,Seneca,Ancient Rome,playwright,male,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,https://www.wikidata.org/wiki/Q2054,notes
,,,poet,,,,,
,,,philosopher,,,,,
,,,aphorist,,,,,
,,,statesperson,,,,,
,,,politician,,,,,
,,,writer,,,,,
Socrates,Socrates,Classical Athens,philosopher,male,0470-01-01T00:00:00Z,0399-02-15T00:00:00Z,https://www.wikidata.org/wiki/Q913,
,,,teacher,,,,,
,,,writer,,,,,
,,,ethicist,,,,,
Solon,Solon,Classical Athens,legislator,male,0630-01-01T00:00:00Z,0560-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q133337,
,,,poet,,,,,
,,,writer,,,,,
,,,philosopher,,,,,
,,,elegist,,,,,
Solon,Solon,Classical Athens,legislator,male,0630-01-01T00:00:00Z,0560-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q133337,
,,,poet,,,,,
,,,writer,,,,,
,,,philosopher,,,,,
,,,elegist,,,,,
Tacitus,Tacitus,Ancient Rome,historian,male,0055-01-01T00:00:00Z,0120-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2161,notes
,,,politician,,,,,
,,,military personnel,,,,,
,,,poet,,,,,
,,,biographer,,,,,
,,,annalist,,,,,
,,,jurist,,,,,
,,,writer,,,,,
the philosopher Lycon,Lyco of Troas,,philosopher,male,0299-01-01T00:00:00Z,0225-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q934510,
Theodoro Trivulzio,Teodoro Trivulzio,France,soldier,male,1456-01-01T00:00:00Z,1532-10-01T00:00:00Z,https://www.wikidata.org/wiki/Q562284,
Wicliffe,John Wycliffe,Kingdom of England,theologian,male,1320-01-01T00:00:00Z,1384-12-31T00:00:00Z,https://www.wikidata.org/wiki/Q173893,
,,,translator,,,,,
,,,philosopher,,,,,
,,,Bible translator,,,,,
,,,writer,,,,,
Xenophon,Xenophon,Classical Athens,historian,male,0430-01-01T00:00:00Z,0354-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q129772,notes
,,,mercenary,,0430-01-01T00:00:00Z,,,
,,,philosopher,,,,,
,,,military personnel,,,,,
,,,writer,,,,,
