QUOTE_TRANSCRIPTION,reconciled with Wikidata,date of birth,date of death,country of citizenship,occupation,sex or gender,ids,URLs,COMMENTS
Virgil,Virgil,0170-10-15T00:00:00Z,0119-09-21T00:00:00Z,Ancient Rome,poet,male,Q1398,https://www.wikidata.org/wiki/Q1398,notes
,,,,,writer,,,,
Valerius Maximus,Valerius Maximus,0100-01-01T00:00:00Z,0100-01-01T00:00:00Z,Ancient Rome,historian,male,Q379991,https://www.wikidata.org/wiki/Q379991,notes
,,,,,writer,,,,
,,,,,poet,,,,
Brasidas,Brasidas,0500-01-01T00:00:00Z,0422-01-01T00:00:00Z,Sparta,military personnel,male,Q311742,https://www.wikidata.org/wiki/Q311742,
Agis IV,Agis IV,0265-01-01T00:00:00Z,0241-01-01T00:00:00Z,Sparta,ruler,male,Q299479,https://www.wikidata.org/wiki/Q299479,
Antigonus II Gonatas,Antigonus II Gonatas,0319-01-01T00:00:00Z,0239-01-01T00:00:00Z,Macedonia,military personnel,male,Q241386,https://www.wikidata.org/wiki/Q241386,
Antipater,Antipater,0397-01-01T00:00:00Z,0319-01-01T00:00:00Z,Macedonia,,male,Q204760,https://www.wikidata.org/wiki/Q204760,
Philip II of Macedon,Philip II of Macedon,0385-01-01T00:00:00Z,0336-01-01T00:00:00Z,Macedonia,monarch,male,Q130650,https://www.wikidata.org/wiki/Q130650,
"Boiocalus, leader of the Ansibarii",Boiocalus,,,,ruler,male,Q2531578,https://www.wikidata.org/wiki/Q2531578,
Servius the grammarian,Servius,0363-01-01T00:00:00Z,0301-01-01T00:00:00Z,Ancient Rome,grammarian,male,Q355350,https://www.wikidata.org/wiki/Q355350,
,,,0500-01-01T00:00:00Z,,philologist,,,,
,,,,,poet,,,,
Hegesias,Hegesias of Cyrene,0400-01-01T00:00:00Z,0300-01-01T00:00:00Z,,philosopher,male,Q437876,https://www.wikidata.org/wiki/Q437876,
Diogenes,Diogenes of Sinope,0400-01-01T00:00:00Z,0323-01-01T00:00:00Z,Sinope,philosopher,male,Q59180,https://www.wikidata.org/wiki/Q59180,
Speusippus,Speusippus,0407-01-01T00:00:00Z,0339-01-01T00:00:00Z,Classical Athens,philosopher,male,Q325955,https://www.wikidata.org/wiki/Q325955,
,,,,,mathematician,,,,
Speusippus,Speusippus,0407-01-01T00:00:00Z,0339-01-01T00:00:00Z,Classical Athens,philosopher,male,Q325955,https://www.wikidata.org/wiki/Q325955,
,,,,,mathematician,,,,
Regulus,Marcus Atilius Regulus,0299-01-01T00:00:00Z,0246-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q318718,https://www.wikidata.org/wiki/Q318718,
,,,0250-01-01T00:00:00Z,,ancient Roman military personnel,,,,
Cato,Cato the Elder,0234-01-01T00:00:00Z,0149-01-01T00:00:00Z,Ancient Rome,writer,male,Q180081,https://www.wikidata.org/wiki/Q180081,
,,,,,Ancient Roman historian,,,,
,,,,,economist,,,,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
,,,,,philosopher,,,,
,,,,,orator,,,,
,,,,,historian,,,,
,,,,,soldier,,,,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
Diogenes Laertius,Diogenes Laertius,0180-01-01T00:00:00Z,0240-01-01T00:00:00Z,Ancient Rome,historian,male,Q59138,https://www.wikidata.org/wiki/Q59138,
,,,,,biographer,,,,
,,,,,philosopher,,,,
,,,,,philosophy historian,,,,
Therykion,Therykion,,,,,,,,
Cleomenes,Cleomenes III,0260-01-01T00:00:00Z,0219-01-01T00:00:00Z,Sparta,ruler,male,Q310811,https://www.wikidata.org/wiki/Q310811,
Cleomenes,Cleomenes III,0260-01-01T00:00:00Z,0219-01-01T00:00:00Z,Sparta,ruler,male,Q310811,https://www.wikidata.org/wiki/Q310811,
Therykion,Therykion,,,,,,,,
Cleomenes,Cleomenes III,0260-01-01T00:00:00Z,0219-01-01T00:00:00Z,Sparta,ruler,male,Q310811,https://www.wikidata.org/wiki/Q310811,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Josephus,Josephus,0037-01-01T00:00:00Z,0100-01-01T00:00:00Z,Ancient Rome,writer,male,Q134461,https://www.wikidata.org/wiki/Q134461,
,,,,,historian,,,,
Brutus,Marcus Junius Brutus,0185-01-01T00:00:00Z,0142-10-23T00:00:00Z,Ancient Rome,philosopher,male,Q172248,https://www.wikidata.org/wiki/Q172248,
,,,,,poet,,,,
,,,,,Ancient Roman politician,,,,
Cassius,Gaius Cassius Longinus,0182-01-01T00:00:00Z,0142-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q207370,https://www.wikidata.org/wiki/Q207370,
,,,,,ancient Roman military personnel,,,,
Monsieur d'Anguien,"Francis, Count of Enghien",1519-09-23T00:00:00Z,1546-02-23T00:00:00Z,France,military personnel,male,Q664061,https://www.wikidata.org/wiki/Q664061,
Pliny,Pliny the Elder,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,Ancient Rome,writer,male,Q82778,https://www.wikidata.org/wiki/Q82778,
,,,,,historian,,,,
,,,,,naturalist,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,art historian,,,,
,,,,,civil servant,,,,
,,,,,military commander,,,,
Seneca,Seneca,0104-01-01T00:00:00Z,0065-04-12T00:00:00Z,Ancient Rome,playwright,male,Q2054,https://www.wikidata.org/wiki/Q2054,
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,aphorist,,,,
,,,,,statesperson,,,,
,,,,,politician,,,,
,,,,,writer,,,,
Democritus Aetolian,"Democritus, Aetolian general",,,,,,,,"2nd century BC, mentioned in Cassius Dio, Roman History Fragments of Book XIX"
Antinous,Antinous of Epirus,0250-01-01T00:00:00Z,0160-01-01T00:00:00Z,,military personnel,male,Q11906123,https://www.wikidata.org/wiki/Q11906123,
Theodotus,Theodotus of Epirus,,,,,,,,
Antigonus Mattathias,Antigonus II Mattathias,0180-01-01T00:00:00Z,0137-01-01T00:00:00Z,Hasmonean Kingdom,priest,male,Q359687,https://www.wikidata.org/wiki/Q359687,
Scribonia,Scribonia,0170-01-01T00:00:00Z,0016-01-01T00:00:00Z,Ancient Rome,,female,Q233444,https://www.wikidata.org/wiki/Q233444,
Libo,Lucius Scribonius Libo,0190-01-01T00:00:00Z,,Ancient Rome,Ancient Roman politician,male,Q431201,https://www.wikidata.org/wiki/Q431201,
,,,,,ancient Roman military personnel,,,,
Nicanor,Nicanor,0200-01-01T00:00:00Z,0160-01-01T00:00:00Z,,military officer,male,Q1267360,https://www.wikidata.org/wiki/Q1267360,
,,,0200-01-01T00:00:00Z,,,,,,
Razis,Razis,,,,,,Q101617381,https://www.wikidata.org/wiki/Q101617381,
Pelagia,Saint Pelagia,0400-01-01T00:00:00Z,0457-01-01T00:00:00Z,,anchorite,female,Q264502,https://www.wikidata.org/wiki/Q264502,
,,,,,actor,,,,
,,,,,prostitute,,,,
,,,,,mystic,,,,
Sophronia,The Second Maiden's Tragedy,,,,,,Q6131327,https://www.wikidata.org/wiki/Q6131327,
Emperor Maxentius,Maxentius,0278-01-01T00:00:00Z,0312-10-28T00:00:00Z,Ancient Rome,politician,male,Q182070,https://www.wikidata.org/wiki/Q182070,
Marot,Clément Marot,1495-12-02T00:00:00Z,1544-09-12T00:00:00Z,Kingdom of France,poet,male,Q108926,https://www.wikidata.org/wiki/Q108926,
,,,,,writer,,,,
,,,,,translator,,,,
Lucius Aruntius,Lucius Arruntius,0127-01-01T00:00:00Z,0037-01-01T00:00:00Z,Ancient Rome,politician,male,Q1076644,https://www.wikidata.org/wiki/Q1076644,
,,,,,military personnel,,,,
Granius Silvanus,Gavius Silvanus,,,Ancient Rome,ancient Roman military personnel,male,Q11924631,https://www.wikidata.org/wiki/Q11924631,
Statius Proximus,Statius Proximus,,,,military personnel,male,Q19999354,https://www.wikidata.org/wiki/Q19999354,
Nero,Nero,0037-12-15T00:00:00Z,0068-06-09T00:00:00Z,Ancient Rome,poet,male,Q1413,https://www.wikidata.org/wiki/Q1413,
,,,,,politician,,,,
,,,,,military personnel,,,,
,,,,,musician,,,,
"Spargapises, son of Queen Tomyris",Spargapises,,0530-01-01T00:00:00Z,,aristocrat,male,Q4430668,https://www.wikidata.org/wiki/Q4430668,
Boges,Boges,0450-01-01T00:00:00Z,,,military commander,male,Q8249134,https://www.wikidata.org/wiki/Q8249134,
King Xerxes,Xerxes I,0519-01-01T00:00:00Z,0465-01-01T00:00:00Z,Achaemenid Empire,statesperson,male,Q129165,https://www.wikidata.org/wiki/Q129165,
,,,0465-08-01T00:00:00Z,,,,,,
Cimon,Cimon,0510-01-01T00:00:00Z,0450-01-01T00:00:00Z,Classical Athens,politician,male,Q218102,https://www.wikidata.org/wiki/Q218102,
,,,,,military personnel,,,,
"Ninachetuen, an Indian lord","Ninachetuen, an Indian lord",,,,,,,,
Afonso de Albuquerque,Afonso de Albuquerque,1453-01-01T00:00:00Z,1515-12-16T00:00:00Z,Kingdom of Portugal,explorer,male,Q204397,https://www.wikidata.org/wiki/Q204397,
"Ninachetuen, Portuguese-Indian lord",Ninachetuen,,,,,,,,
Sextilia,Sextia,,0034-01-01T00:00:00Z,Ancient Rome,,female,Q3122988,https://www.wikidata.org/wiki/Q3122988,
Scaurus,Mamercus Aemilius Scaurus,0100-01-01T00:00:00Z,0034-01-01T00:00:00Z,Ancient Rome,poet,male,Q776343,https://www.wikidata.org/wiki/Q776343,
,,,,,Ancient Roman politician,,,,
Paxaea,Pomponia gens,,,,,,Q1363180,https://www.wikidata.org/wiki/Q1363180,
Labeo,Pomponia gens,,,,,,Q1363180,https://www.wikidata.org/wiki/Q1363180,
Cocceius Nerva,Nerva,0030-11-08T00:00:00Z,0098-01-27T00:00:00Z,Ancient Rome,politician,male,Q1424,https://www.wikidata.org/wiki/Q1424,
Tiberius,Tiberius,0142-11-16T00:00:00Z,0037-03-16T00:00:00Z,Ancient Rome,military personnel,male,Q1407,https://www.wikidata.org/wiki/Q1407,
,,,,,politician,,,,
,,,,,soldier,,,,
the wife of Fulvius,the wife of Fulvius,,,,,,,,"Plutarch, De garrulitate"
Fulvius,Fulvius,,,,,,,,"mentioned in Plutarch, De garrulitate"
Augustus,Augustus,0163-09-23T00:00:00Z,0014-08-19T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1405,https://www.wikidata.org/wiki/Q1405,
,,,,,ancient Roman military personnel,,,,
,,,,,ruler,,,,
Augustus,Augustus,0163-09-23T00:00:00Z,0014-08-19T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q1405,https://www.wikidata.org/wiki/Q1405,
,,,,,ancient Roman military personnel,,,,
,,,,,ruler,,,,
Vibius Virrius,Virrius Vibius,,,,,male,Q3560827,https://www.wikidata.org/wiki/Q3560827,
Hannibal,Hannibal,0247-01-01T00:00:00Z,0183-01-01T00:00:00Z,Ancient Carthage,politician,male,Q36456,https://www.wikidata.org/wiki/Q36456,
,,,,,military leader,,,,
Vibius Virriuss,Virrius Vibius,,,,,male,Q3560827,https://www.wikidata.org/wiki/Q3560827,
Jubellius Taurea,Jubellius Taurea,,,,,male,Q11929337,https://www.wikidata.org/wiki/Q11929337,
Consul Fulvius,Quintus Fulvius Flaccus,0270-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q710851,https://www.wikidata.org/wiki/Q710851,
,,,,,ancient Roman military personnel,,,,
Fulvius,Quintus Fulvius Flaccus,0270-01-01T00:00:00Z,0200-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q710851,https://www.wikidata.org/wiki/Q710851,
,,,,,ancient Roman military personnel,,,,
Jubellius,Jubellius Taurea,,,,,male,Q11929337,https://www.wikidata.org/wiki/Q11929337,
Alexander,Alexander the Great,0356-07-20T00:00:00Z,0323-06-10T00:00:00Z,Macedonia,politician,male,Q8409,https://www.wikidata.org/wiki/Q8409,
,,,,,military leader,,,,
,,,,,monarch,,,,
Philip V,Philip V of Macedon,0238-01-01T00:00:00Z,0179-01-01T00:00:00Z,Macedonia,sovereign,male,Q237248,https://www.wikidata.org/wiki/Q237248,
Tiberius,Tiberius,0142-11-16T00:00:00Z,0037-03-16T00:00:00Z,Ancient Rome,military personnel,male,Q1407,https://www.wikidata.org/wiki/Q1407,
,,,,,politician,,,,
,,,,,soldier,,,,
St. Paul,Paul the Apostle,0005-01-01T00:00:00Z,0066-01-01T00:00:00Z,Ancient Rome,writer,male,Q9200,https://www.wikidata.org/wiki/Q9200,
,,,,,theologian,,,,
,,,,,missionary,,,,
,,,,,religious figure,,,,
,,,,,rabbi,,,,
,,,,,traveler,,,,
,,,,,artisan,,,,
Christ,Jesus,0105-01-01T00:00:00Z,0033-04-03T00:00:00Z,Herodian Kingdom of Judea,preacher,male,Q302,https://www.wikidata.org/wiki/Q302,
,,,,,prophet,,,,
,,,,,carpenter,,,,
,,,,,rabbi,,,,
,,,,,thaumaturge,,,,
,,,,,religious leader,,,,
,,,,,healer,,,,
,,,,,Messiah,,,,
,,,,,preacher,,,,
,,,,,teacher,,,,
,,,,,father of faith,,,,
,,,,,tektōn,,,,
,,,,,pastor,,,,
Cleombrotus of Ambracia,Cleombrotus of Ambracia,0500-01-01T00:00:00Z,0400-01-01T00:00:00Z,,philosopher,male,Q1774128,https://www.wikidata.org/wiki/Q1774128,
Plato,Plato,0428-01-01T00:00:00Z,0348-01-01T00:00:00Z,Classical Athens,philosopher,male,Q859,https://www.wikidata.org/wiki/Q859,
,,,,,epigrammatist,,,,
,,,,,poet,,,,
,,,,,writer,,,,
,,,,,philosopher of law,,,,
"Jacques du Chastel, bishop of Soissons","Jacques du Chastel, bishop of Soissons",,,,,,,,
Sextus Pompeius,Sextus Pompey,,0135-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q295228,https://www.wikidata.org/wiki/Q295228,
,,,,,ancient Roman military personnel,,,,
Sextus Pompeius,Sextus Pompey,,0135-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q295228,https://www.wikidata.org/wiki/Q295228,
,,,,,ancient Roman military personnel,,,,
Sextus Pompeius,Sextus Pompey,,0135-01-01T00:00:00Z,Ancient Rome,Ancient Roman politician,male,Q295228,https://www.wikidata.org/wiki/Q295228,
,,,,,ancient Roman military personnel,,,,
Mercury,Mercury,,,,,male,Q1150,https://www.wikidata.org/wiki/Q1150,
Pliny,Pliny the Elder,0020-01-01T00:00:00Z,0079-01-01T00:00:00Z,Ancient Rome,writer,male,Q82778,https://www.wikidata.org/wiki/Q82778,
,,,,,historian,,,,
,,,,,naturalist,,,,
,,,,,military personnel,,,,
,,,,,poet,,,,
,,,,,philosopher,,,,
,,,,,art historian,,,,
,,,,,civil servant,,,,
,,,,,military commander,,,,
